label,message
n,"Этот срок добавляется сверху к 22 годам, к которым его приговорили ранее. По решению суда, Шовин будет отбывать оба срока одновременно, но его переведут в федеральную тюрьму. Судья также обязал экс-полицейского выплатить компенсацию ущерба. Его размер определят позднее."
n,"❗️«Глава государства апеллировал к тем заявлениям, которые звучат из западных стран, из Киева, о том, что Киев будет на поле боя двигаться вплоть до победы. Здесь Путин таким образом напомнил, что потенциалы совершенно несоизмеримы. Потенциал России , что лишь незначительная его часть сейчас задействуется в ходе специальной военной операции», — сказал Песков."
n,"❗️Курс евро впервые с декабря 2002 года опустился ниже $1,01."
n," бомбанул от новостей в СМИ про развод с женой и решил записать «опровержение» под видом поздравления россиян с Днём семьи, постояв с ней в кадре  впервые за 2 года. Верим?"
n," Это первый приговор по уголовной статье о фейках о ВС РФ.  Его признали виновным в распространении «фейков» про российскую армию по статье 207.3 УК РФ с использованием служебного положения. Суд решил, что вина Горинова полностью доказана, потому что он распространил «сведения о гибели детей в Украине, которые противоречили брифингам Минобороны».  Причиной стало заседании депутатов Красносельского района от 15 марта, где обсуждался «план досуга» москвичей в период проведения СВО. Горинов и другой депутат Елена Котеночкина (она сбежала из страны до ареста) выступили с критикой армии РФ и предложили провести минуту молчания в память погибших граждан Украины.   На суде Горинов показывал антивоенную табличку, которую пытались закрыть приставы от журналистов. На последнем кадре — жена мундепа за пять минут до приговора."
n,"Данный кредит предложил Европейский инвестиционный банк. Как правило, резервы для покрытия потенциальных убытков составляют 9% от общего объема финансирования. Эту сумму гарантирует Еврокомиссия. Но в случае с Украиной Еврокомиссия хочет, чтобы его обеспечение  на случай, если страна не сможет вернуть средства.   При этом часть рисков по невозвращению кредитов эксперты предлагают передать отдельным странам ЕС и самому Европейскому инвестиционному банку."
n,", по предварительным данным, есть пострадавшие.  : местные говорят, что ударили по очередному складу БК и ПВО."
n,"«ПВО успешно отразила ракетную атаку со стороны Украины на Каховскую ГЭС, предотвратила выход из строя важного для региона и населения объекта», сообщили в ВГА области.   Глава ВГА Владимир Сальдо отметил, что ВС РФ «дадут сокрушительный ответ»."
n,"❗️Если западное оружие «придёт вовремя»,  — Зеленский в интервью CNN"
n,"Размахивая рюкзаком на станции «Баррикадная», молодой человек решил выместить злость на уходящем поезде и снёс зеркало заднего вида. Горячего парня уже задержали и теперь его ждёт статья за вандализм."
n,❗️В ДНР отменили мораторий на исполнение смертных приговоров — пресс-служба
n,Бывший командующий силами НАТО в Европе генерал  посоветовал ВСУ  чтобы «ослабить возможности России».  — заявил Бридлав в интервью The Times.
n,"Но с условием: для этого достаточно в пунктах взимания платы продемонстрировать техпаспорт автомобиля, зарегистрированного в ДНР или ЛНР."
n,"Канада ввела санкции против Патриарха Кирилла.  Также в санкционном списке Канады Тигран Кеосаян, главред «Комсомольской правды» Владимир Сунгоркин, ВГТРК, Sputnik, Армен Гаспарян, Екатерина Андреева, Мария Захарова, Антон Красовский, Аркадий Мамонтов, Роман Бабаян, Захар Прилепин.   И вводится запрет на импорт российского золота."
n,Выпускникам МГУСИТ (Московского университета спорта и туризма) девушки в мини-юбках из группы «Ассорти» рассказали об их богоизбранности и благословили на взрослую жизнь.
n,"  Не можете продлить нужный сервис, снять валюту за рубежом или получить международный перевод?  Команда  запустила сервис, в котором граждане РФ могут оформить онлайн карту Visa или Mastercard в банке Казахстана. С помощью этого бота уже более 1000 россиян открыли зарубежные счета.  Для чего она подходит:  - Оплата зарубежных сервисов и покупок  - Хранение валютных сбережений  - Получение оплат из-за рубежа  - Использование в путешествиях  Весь процесс проходит онлайн, от вас потребуется только загранпаспорт.   👉"
n,"Работники парка не смогли остановить аттракцион. На место прибыли спасатели. Сообщается, что пострадавших нет."
n,Появились кадры задержания обвиняемого в изнасиловании и убийстве 8-летнего в Мончегорске.
n,В Керчи прирождённый регулировщик устроил ДТП.
n,"Один из пророссийских каналов сегодня опубликовал видео с запуском «Точки-У», которая по информации Минобороны РФ в российских войсках не используется. Позже пост был удалён.  В канале выпустили опровержение, заявив, что их «дезинформировали ЦПОшники», прислав видео."
n,Во Франции объявлена рекомендательная вакцинация от оспы обезьян для групп риска: 
n," Какого рода запрет и под угрозой какого наказания стоит ввести, Володин не уточнил. На территории РФ уже действует запрет на пропаганду ЛГБТ среди несовершеннолетних."
n,", сообщили в (подконтрольной России) военно-гражданской администрации региона."
n,"❗️Премьер-министр Эстонии  заявила, что покидает свой пост — Delfi"
n,"На 20 огромных шариках северным соседям улетели 20 тысяч масок, 70 тысяч таблеток жаропонижающих препаратов и 30 тысяч таблеток витамина С. К шарам также прикрепили сообщения, опровергающие заявление властей КНДР о том, что болезнь якобы занесли из Южной Кореи.  КНДР ранее заявила, что вспышка коронавируса в стране началась у межкорейской границы у людей, которые «контактировали с неким странным предметом»."
n,"В  открылась кондитерская  («Dickery») и поляков возмутило, что в заведении продают вафли в форме  и  даже детям. Владельцы хотели просто снять табу с темы гениталий и сексуальности.  Это мы едим?"
n,"Байден подписал новый пакет военной помощи Украине на $400 млн, включая четыре дополнительные реактивные системы залпового огня .  Тем самым у Украины будет уже 12 систем HIMARS. США также обсуждают с партнерами возможность поставок Украине систем береговой обороны, заявили в ведомстве."
n,"Родо-племенные разборки в Москве у метро Пролетарская со стрельбой и насилием. Пока ехала полиция, все аборигены разбежались."
